AC44MT48,"ACO  4  4AG 1/2 CORT 4,8-45CM",FA88904,XYM652G,12
AC44MTC40,"ACO 4 4AG 1/2 CORT TC 4,0-45CM",,M663G,12
AC44MTC48,"ACO 4 4AG 1/2 CORT TC 4,8-45CM",,XYM651G,12
AC54MT48,"ACO  5  4AG 1/2 CORT 4,8-45CM",FA88905,XYM653G,12
AC54MTC48,"ACO 5 4AG 1/2 CORT TC 4,8-45CM",FA8895E,XYM650G,12
AC64MT48,"ACO  6  4AG 1/2 CORT 4,8-45CM",FA88906,XYM654G,12
AC64MTC48,"ACO 6 4AG 1/2 CORT TC 4,8-45CM",,,12
AC0SA60,ACO  0  S/AG 3X60CM,FA910,BSS26T,24
AC1SA60,ACO  1  S/AG 3X60CM,FA901,BSS25T,24
AC20SA60,ACO 2-0 S/AG 3X60CM,FA920,BSS28T,24
AC0MR25S3,"ACO 0 AG 1/2 CIL 2,5-60CM S300",FA54910,M626G,12
AC14MR26,"ACO 1 4AG 1/2 CIL 2,6-45CM",FA54901,M625G,12
AC14MT35,"ACO 1 4AG 1/2 CORT 3,5-45CM",FA56901,,12
LN0CR30G,"LINHO  0  AG3/8 CIL3,0-75CM",LC15810,G635T,24
LN1CR30G,"LINHO  1  AG3/8 CIL3,0-75CM",LC15801,,24
LN20CR30G,"LINHO 2-0 AG 3/8 CIL 3,0-75CM",LC15820,G634T,24
LN30CR30G,"LINHO 3-0 AG 3/8 CIL 3,0-75CM",LC15830,G633T,24
LN0SA45,LINHO  0  S/AG 15X45CM,LC810,SFL95T,24
LN1SA45,LINHO  1  S/AG 15X45CM,LC801,SFL96T,24
LN20SA45,LINHO 2-0 S/AG 15X45CM,LC820,SFL94T,24
LN30SA45,LINHO 3-0 S/AG 15X45CM,LC830,SFL93T,24
SD0CR30G,"SEDA  0  AG3/8 CIL3,0-75CM",SP15410,G814T,24
SD1MR35G,"SEDA  1  AG1/2 CIL3,5-75CM",,,24
SD20CR30G,"SEDA 2-0 AG3/8 CIL3,0-75CM",SP15420,G813T,24
SD30CR30G,"SEDA 3-0 AG3/8 CIL3,0-75CM",SP15430,G812T,24
SD30MR20G,"SEDA 3-0 AG1/2 CIL2,0-75CM",,,24
SD40MR20G,"SEDA 4-0 AG1/2 CIL2,0-75CM",SP23440,,24
SD0SA45,SEDA  0  S/AG 15X45CM,SP410,SSP15T,24
SD1SA45,SEDA  1  S/AG 15X45CM,SP401,SSP16T,24
SD20SA45,SEDA  2-0  S/AG 15X45CM,SP420,SSP14T,24
SD30SA45,SEDA 3-0 S/AG 15X45CM,SP430,SSP13T,24
SD40SA45,SEDA 4-0 S/AG 15X45CM,SP440,SSP12T,24
SD40MT15AP,"SEDA 4-0 AG1/2 COR1,5-45CM",,1187T,24
SD50MT15AP,"SEDA 5-0 AG1/2 COR1,5-45CM",,P1686T,24
SD60CT11AP,"SEDA 6-0 AG3/8 COR1,1-45CM",,P639T,24
SD60MT15AP,"SEDA 6-0 AG1/2 COR1,5-45CM",,P1685T,24
SD0CT30S3,"SEDA 0 AG3/8 COR3,0-45CM S3",SP45410,,24
SD20CT25S3,"SEDA 2-0 AG3/8 COR2,5-45CM S3",SP44420,,24
SD20CT30S3,"SEDA 2-0 AG3/8 COR3,0-45CM S3",,,24
SD30CT25S3,"SEDA 3-0 AG3/8 COR2,5-45CM S3",SP44430,,24
SD30CT30S3,"SEDA 3-0 AG3/8 COR3,0-45CM S3",,,24
SD30MT30S3,"SEDA 3-0 AG1/2 COR3,0-45CM S3",,,24
SD30CT20S3,"SEDA 3-0 AG3/8 COR2,0-45CM S3",SP43430,,24
SD30MT17S3,"SEDA 3-0 AG1/2 COR1,7-45CM S3",SP82430E,D2762T,24
SD30MT20S3,"SEDA 3-0 AG1/2 COR2,0-45CM S3",SP53430E,D2763T,24
SD40CT20S3,"SEDA 4-0 AG3/8 COR2,0-45CM S3",SP43440,,24
SD40MT17S3,"SEDA 4-0 AG1/2 COR1,7-45CM S3",SP82440E,D2764T,24
SD50CT20S3,"SEDA 5-0 AG3/8 COR2,0-45CM S3",SP43450,,24
AA0CR30G,"ALGODAO 0 AG3/8 CIL3,0-75CM",AA15510,PA425T,24
AA0MR35EG,"ALGODAO 0 AG1/2 CIL3,5-45CM",AA26510,P21T,24
AA0MR40G,"ALGODAO 0 AG1/2 CIL4,0-75CM",,,24
AA203MR25EG,"ALGOD 2-0 AG1/2 CIL2,5-3X45CM",3AA24520,3P22T,24
AA20CR30G,"ALGODAO 2-0 AG3/8 CIL3,0-75CM",AA15520,PA424T,24
AA20MR25EG,"ALGODAO 2-0 AG1/2 CIL2,5-45CM",AA24520,P22T,24
AA303MR25EG,"ALGOD 3-0 AG1/2 CIL2,5-3X45CM",3AA24530,3P23T,24
AA30CR30G,"ALGODAO 3-0 AG3/8 CIL3,0-75CM",AA15530,PA423T,24
AA30MR25EG,"ALGODAO 3-0 AG1/2 CIL2,5-45CM",,P23T,24
AA40MR25EG,"ALGODAO 4-0 AG1/2 CIL2,5-45CM",,P24T,24
