Código;Família;Subtipo;Descrição;Especialidade;Conc. JJ Ref 1;Conc. JJ Ref 2;Conc. JJ Ref 3;Conc. JJ Ref 4;Diâmetro;Comprimento Fio;Descrição completa agulha;Tipo;Cod. Agulha;Curv;Tamanho Agulha;Env / Cxa;Observação ;RMS;Descrição para Licitação;Composto;NomeConcorrente;codigo_bioline
AB1000-;ADESIVO GRF;HEMOSTÁTICO;SURGICAL ADHESIVE;Adesivo GRF;;;;;;;5 g (adesivo) e 4 ml (polimerizante);;-;;-;6;Encer. Prod. Dez. 24;80052020016;Adesivo Cirúrgico Surgical Adhesive composto por Gelatina, Resorcina e Formaldeído,  com 5 g (adesivo), 4 ml (polimerizante). Produto comercializado em caixa contendo 6 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020016 Código/modelo:AB1000. Fabricante: Polysuture. Origem: Nacional;Polimerizante;;
SM5624;BIOSYN;SAS;BIOSYN INCOLOR 5-0 45CM P12;Cirurgia Plástica;MCP495G;;;;5-0;45 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5624 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM5627;BIOSYN;SAS;BIOSYN 4-0 INCOLOR 45CM P-12;Cirurgia Plástica;MCP496G;;;;4-0;45 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5627 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM5637;BIOSYN;SAS;BIOSYN INCOLOR 4-0 75CM P12;Cirurgia Plástica;MCP426H;;;;4-0;75 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5637 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM5638;BIOSYN;SAS;BIOSYN 3-0 INCOLOR 75CM P12;Cirurgia Plástica;MCP427H;XYY427H;Y427H;;3-0;75 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5638 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;PGCL30CT19IEAP
SM5679G;BIOSYN;SAS;BIOSYN 3-0 INCOLOR 75CM P14;Cirurgia Plástica;MCP936H;XYY936H;Y936H;;3-0;75 cm;3/8 Triang. Reverso Premium 24 mm;Triang. Reverso Premium - EDGELLANT;P-14;3/8;24 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha P14 de curvatura 3/8 Triang. Reverso Premium 24 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5679G Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;PGCL30CT24IEAP
SM5687;BIOSYN;SAS;BIOSYN 5-0 INCOLOR 45CM P13;Cirurgia Plástica;MCP493G;;;;5-0;45 cm;3/8 Triang. Reverso Premium 13 mm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;13 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium 13 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5687 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM5690;BIOSYN;SAS;BIOSYN INC 4-0 45CM P13;Cirurgia Plástica;MCP494G;;;;4-0;45 cm;3/8 Triang. Reverso Premium 13 mm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;13 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium 13 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM5690 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM690;BIOSYN;SAS;BIOSYN 5-0 INCOLOR 75CM C13;Cuticular - Fechamento de Pele;;;;;5-0;75 cm;3/8 Triang. Reverso 19 mm;Triang. Reverso;C13;3/8;19 mm;36;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 5-0 com 75 cm de comprimento, com agulha C13 de curvatura 3/8 Triang. Reverso 19 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM690 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
SM691;BIOSYN;SAS;BIOSYN 4-0 INCOLOR 75CM C13;Cuticular - Fechamento de Pele;;;;;4-0;75 cm;3/8 Triang. Reverso 19 mm;Triang. Reverso;C13;3/8;19 mm;36;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha C13 de curvatura 3/8 Triang. Reverso 19 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:SM691 Fabricante: Covidien LLC. Origem: Importado da República Dominicana ou dos Estados Unidos da América.;Glicomer 631;;
